Gender,Age,Under 30,Senior Citizen,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Population,30 to 64,Household Size,Is Alone,Receive Refund,Total Services Subscribed,Cost per GB,Historical Avg Monthly Charge,Bill Shock,Referral a Friend,Under-Utilizing Unlimited,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Tenure Group_Loyal (2-4y),Tenure Group_New (0-1y),Tenure Group_Standard (1-2y),Tenure Group_Very Loyal (4y+)
0,31,0,0,1,0,0.6659032310498683,92131,32.89325,-117.087091,10,64,1,19.22,0,1,21,1,0,0,1,1,1,1,1,1,96.9,6314.35,13.37,0,1230.08,7531.06,29283,1,2,0,1,5,4.614283517007849,98.66171875,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,57,0,0,0,0,0.3145715995918679,93210,36.186867,-120.387793,0,1,1,5.55,0,1,13,0,0,0,0,0,0,0,1,1,45.7,45.7,0.0,0,5.55,51.25,18036,1,1,1,0,0,3.515381911244684,45.7,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,64,0,0,0,0,0.0,91763,34.072121,-117.698319,0,1,1,21.52,0,1,25,0,0,0,0,0,0,0,1,0,69.7,69.7,0.0,0,21.52,91.22,34447,1,1,1,0,0,2.787998884800446,69.7,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,40,0,0,0,0,0.40838366096098255,96027,41.405193,-123.008567,0,39,0,0.0,0,1,13,1,0,0,1,1,0,0,1,0,45.05,1790.6,0.0,0,0.0,1790.6,2156,1,1,1,0,3,3.4653819497061926,45.91282051282051,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,73,0,1,0,0,0.23302467977101912,91401,34.178483,-118.431791,0,5,1,18.69,0,1,28,0,0,1,0,0,0,0,1,0,50.35,237.25,0.0,0,93.45,330.7,40376,0,1,1,0,1,1.7982136434951277,47.45,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,56,0,0,1,1,0.23289199999345978,90029,34.089953,-118.294824,5,10,1,15.51,0,0,0,0,0,0,0,0,0,0,0,0,19.85,198.5,0.0,0,155.1,353.6,41713,1,3,0,0,0,1985000.0,19.85,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,32,0,0,0,0,0.40838366096098255,95695,38.71967,-121.862416,0,48,1,9.19,0,0,0,0,0,0,0,0,0,0,0,0,19.95,936.7,0.0,0,441.12,1377.8200000000002,38547,1,1,1,0,0,1995000.0,19.51458333333333,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,41,0,0,0,0,0.22706206739198584,94131,37.746699,-122.442833,0,48,1,33.68,0,0,0,0,0,0,0,0,0,0,0,0,20.15,982.95,0.0,0,1616.64,2599.59,27906,1,1,1,0,0,2015000.0,20.478125,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,58,0,0,0,0,0.0,91326,34.281911,-118.556218,0,17,1,36.47,0,1,15,1,1,0,0,0,0,0,1,0,56.1,946.95,0.0,0,619.99,1566.94,28067,1,1,1,0,2,3.739997506668329,55.70294117647059,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,28,1,0,1,0,0.0,95555,41.336354,-124.044354,8,72,1,12.87,0,0,0,0,0,0,0,0,0,0,0,0,19.4,1496.45,0.0,0,926.64,2423.09,494,0,2,0,0,0,1940000.0,20.78402777777778,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
