Gender,Age,Under 30,Senior Citizen,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Label,Population,30 to 64,Household Size,Is Alone,Receive Refund,Total Services Subscribed,Cost per GB,Historical Avg Monthly Charge,Bill Shock,Tenure Group,Referral a Friend,Under-Utilizing Unlimited
Male,78,No,Yes,No,0,Los Angeles,90022,34.02381,-118.156582,0,1,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,Yes,68701,No,1,Yes,No,2,4.956243804695244,39.65,No,New (0-1y),No,No
Female,74,No,Yes,Yes,1,Los Angeles,90063,34.044271,-118.185237,1,8,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,Yes,55668,No,3,No,No,2,4.744114856403026,79.1625,Yes,New (0-1y),Yes,Yes
Male,71,No,Yes,No,3,Los Angeles,90065,34.108833,-118.229715,0,18,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,Yes,47534,No,4,No,Yes,4,1.8355765700814288,97.36388888888888,No,Standard (1-2y),No,No
Female,78,No,Yes,Yes,1,Inglewood,90303,33.936291,-118.332639,1,25,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,Yes,27778,No,3,No,Yes,4,8.208326493061255,100.58,No,Loyal (2-4y),Yes,Yes
Female,80,No,Yes,Yes,1,Whittier,90602,33.972119,-118.020188,1,37,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,Yes,26265,No,3,No,No,1,5.464281811227278,77.51756756756757,No,Loyal (2-4y),Yes,Yes
Female,72,No,Yes,No,1,Pico Rivera,90660,33.989524,-118.089299,0,27,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,Yes,63288,No,2,No,No,2,4.336108702161832,79.0925925925926,No,Loyal (2-4y),No,No
Female,76,No,Yes,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,Yes,21343,No,4,No,No,0,2.3483325505558166,70.45,No,New (0-1y),Yes,No
Male,66,No,Yes,Yes,0,Sierra Madre,91024,34.168686,-118.057505,6,58,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,Yes,10558,No,2,No,Yes,3,1.8874992135419943,45.710344827586205,No,Very Loyal (4y+),Yes,No
Female,70,No,Yes,No,2,Pasadena,91106,34.139402,-118.128658,0,15,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,Yes,23742,No,3,No,No,1,3.9184189903057947,76.38000000000001,No,Standard (1-2y),No,Yes
Female,77,No,Yes,No,2,Pasadena,91107,34.159007,-118.087353,0,7,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,Yes,32369,No,3,No,Yes,1,4.247219862655632,71.94285714285715,Yes,New (0-1y),No,No
Female,78,No,Yes,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Yes,57146,No,2,No,No,3,3.2758609393582967,101.84545454545454,No,New (0-1y),No,No
Male,65,No,Yes,No,0,Covina,91722,34.097345,-117.906736,0,15,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,Yes,33817,No,1,Yes,No,1,2.565516356718498,71.61999999999999,Yes,Standard (1-2y),No,No
Male,77,No,Yes,Yes,0,El Monte,91732,34.074492,-118.01462,1,1,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,Yes,62660,No,2,No,No,2,3.34999720833566,40.2,No,New (0-1y),Yes,Yes
