iter	Logloss
0	0.6822370394
1	0.6729421682
2	0.6630258805
3	0.6529351777
4	0.6428000573
5	0.6341161863
6	0.6278530033
7	0.6198861531
8	0.612783381899	0.6066489901110	0.5998702479111	0.59266565212	0.5840916679
1313	0.5792097127114	0.5747957265115	0.569329260916	0.5642287081
17	0.5590478521
18	0.5544960521
19	0.5483827237
20	0.5429062884
21	0.5389300465
22	0.5342322647
23	0.529487839
24	0.5251108397
25	0.5214159359
26	0.5175654991
27	0.5141476322
28	0.5106794425
29	0.5072940945
30	0.5039540047
31	0.5008297513
32	0.4979995568
33	0.4949361017
34	0.4912267851
35	0.4884935748
36	0.4850837498
37	0.4831002951
38	0.4810158745
39	0.4784398157
40	0.4757877103
41	0.4733530519
42	0.4703060134
43	0.4676588341
44	0.4656646646
45	0.4635193837
46	0.4612948043
47	0.4593816241
48	0.4570306472
49	0.4551879968
50	0.453176753
51	0.4520394663
52	0.4503131131
53	0.4487233182
54	0.4470643982
55	0.4450352212
56	0.4431895174
57	0.4415226182
58	0.4401196634
59	0.4385457492
60	0.4365517718
61	0.4350659313
62	0.4335458736
63	0.4321910849
64	0.4305057329
65	0.429352777
66	0.4276608958
67	0.4264202987
68	0.4251726305
69	0.4239092982
70	0.4227232361
71	0.421341641
72	0.4205759594
73	0.4192131124
74	0.4181428085
75	0.4171151054
76	0.4160109539
77	0.4149593354
78	0.4140604948
79	0.4125419387
80	0.4110446968
81	0.4097296856
82	0.4086181737
83	0.4078528273
84	0.4067481521
85	0.405831093
86	0.4046160692
87	0.4035314818
88	0.4027501997
89	0.4018097419
90	0.4011073411
91	0.400252676
92	0.399460898
93	0.3984453774
94	0.3976889933
95	0.3966653372
96	0.3959746178
97	0.3950416277
98	0.3944948265
99	0.3937285296
100	0.3928131868
101	0.3917467602
102	0.3912830236
103	0.3908669565
104	0.3903193694
105	0.3896760028
106	0.3890220134
107	0.3885427534
108	0.3879074775
109	0.3874570449
110	0.3868862265
111	0.3861638067
112	0.3853916249
113	0.3847613283
114	0.3842927634
115	0.3834250552
116	0.3828946555
117	0.3823096343
118	0.381763062
119	0.3812317146
120	0.3807708947
121	0.3798104894
122	0.3793233517
123	0.378833525
124	0.378278564
125	0.3776994716
126	0.3771927052
127	0.3766642065
128	0.3763769334
129	0.3758212038
130	0.3751635855
131	0.3746474556
132	0.3739982513
133	0.3735805156
134	0.3726951336
135	0.3721582814
136	0.37137	0.363137	0.37138	0.362138	0.37139	0.361139	0.37140	0.361140	0.36141	0.360141	0.36142	0.360142	0.36143	0.3593486587
144	0.3588907955
145	0.3583439496
146	0.3579035511
147	0.3574960328
148	0.3567203534
149	0.3563665262
150	0.3559183056
151	0.3554151437
152	0.3549997893
153	0.3544475077
154	0.3538931622
155	0.3533246692
156	0.3528384322
157	0.3523601235
158	0.3516083583
159	0.3510631727
160	0.3508221936
161	0.3502715529
162	0.3497529116
163	0.3492948475
164	0.3488764604
165	0.3485334752
166	0.3481365052
167	0.3476646939
168	0.3473437512
169	0.3469087711
170	0.346516654
171	0.3460562733
172	0.3457260349
173	0.3453161701
174	0.3448933602
175	0.3446391801
176	0.3440327852
177	0.3437718784
178	0.3433301536
179	0.3430638337
180	0.3427284322
181	0.3423619155
182	0.3419602337
183	0.3415922736
184	0.3412597117
185	0.3407328956
186	0.3404012586
187	0.3399412604
188	0.3397184732
189	0.3393404516
190	0.3389876595
191	0.3386106965
192	0.3382536082
193	0.3379912255
194	0.3377980785
195	0.3375149784
196	0.3371558803
197	0.3367337276
198	0.3365134092
199	0.3361233413
200	0.3357048919
201	0.3354806661
202	0.3350602908
203	0.3346630051
204	0.3342083049
205	0.3339232083
206	0.3336138883
207	0.3333180548
208	0.3328528189
209	0.3323504042
210	0.3320833005
211	0.3317944761
212	0.3315138002
213	0.3312692526
214	0.3309893753
215	0.3307387597
216	0.330461013
217	0.3300297293
218	0.3297805572
219	0.3295172055
220	0.3292694365
221	0.3289984862
222	0.3287825491
223	0.3284746495
224	0.3282609635
225	0.3280398209
226	0.3276775327
227	0.3275079324
228	0.3271040927
229	0.326804332
230	0.3266113028
231	0.3261261918
232	0.3258087805
233	0.3255252116
234	0.3250735939
235	0.32475764
236	0.3245521516
237	0.3243480641
238	0.323986487
239	0.3238004619
240	0.323514351
241	0.3231548623
242	0.3227760266
243	0.3224727917
244	0.3219754383
245	0.3216818655
246	0.321357963
247	0.3209729182
248	0.3205940789
249	0.3203054054
250	0.3200517414
251	0.3196518705
252	0.3193384483
253	0.3190494324
254	0.3186494995
255	0.318383652
256	0.3182237283
257	0.3179056273
258	0.3176877237
259	0.3172330039
260	0.3169375804
261	0.3166541327
262	0.3164210206
263	0.3162163738
264	0.3158974339
265	0.3155020532
266	0.3153036323
267	0.3148741191
268	0.3145071237
269	0.314238324
270	0.3138923966
271	0.3137291296
272	0.3134549223
273	0.3130178984
274	0.3125516095
275	0.3122716938
276	0.3119880418
277	0.3116390065
278	0.31137182
279	0.3111165383
280	0.3109188508
281	0.3106116471
282	0.3103873223
283	0.3101472752
284	0.3099690315
285	0.3095910717
286	0.309311766
287	0.3089296739
288	0.3086716934
289	0.3084638705
290	0.3081736446
291	0.3080017004
292	0.3077127715
293	0.3072964196
294	0.3071079555
295	0.3068024501
296	0.3064967777
297	0.306290827
298	0.3061059493
299	0.3059266493
300	0.3056495878
301	0.3054754643
302	0.305163797
303	0.3047188703
304	0.3045493642
305	0.3042586242
306	0.3040973026
307	0.3039015249
308	0.303571648
309	0.3032070871
310	0.3028355773
311	0.3025654607
312	0.3022190211
313	0.3018440463
314	0.3016398958
315	0.3012245856
316	0.3010037925
317	0.300836994
318	0.3006410866
319	0.3002265249
320	0.3000302954
321	0.299721018
322	0.299394005
323	0.2991870019
324	0.2989079503
325	0.2986562934
326	0.2985751952
327	0.2983405887
328	0.2980024983
329	0.2976731416
330	0.2972895453
331	0.2969446057
332	0.2967228654
333	0.2965690516
334	0.2962092986
335	0.2959147618
336	0.2957204234
337	0.2954607587
338	0.2951764965
339	0.2949696227
340	0.2948002165
341	0.2946100019
342	0.2944155411
343	0.2941470522
344	0.2939277562
345	0.2938045066
346	0.2935322798
347	0.2932576089
348	0.29297623
349	0.2927436735
350	0.2925239079
351	0.2922661973
352	0.2921588048
353	0.2918528481
354	0.2916304117
355	0.2916150391
356	0.2914275792
357	0.2910775666
358	0.29085799
359	0.2906604641
360	0.2902959716
361	0.2901429907
362	0.2899378209
363	0.289624603
364	0.2893892254
365	0.2892704609
366	0.2890588011
367	0.2889491434
368	0.2887566072
369	0.2884846157
370	0.2883976441
371	0.2881517999
372	0.2879496669
373	0.2876246104
374	0.2875337716
375	0.2871996905
376	0.2870459582
377	0.286783258
378	0.2865991531
379	0.2863608173
380	0.2861408638
381	0.2858274988
382	0.2856445272
383	0.2854722761
384	0.2852884028
