iter	Passed	Remaining
0	159	159764
1	173	86626
2	185	61704
3	201	50101
4	229	45711
5	243	40417
6	254	36129
7	265	32959
8	279	30767
9	291	28874
10	304	27379
11	321	26488
12	351	26712
13	407	28708
14	431	28318
15	447	27540
16	474	27441
17	498	27180
18	509	26287
19	517	25371
20	526	24561
21	544	24225
22	562	23886
23	576	23433
24	584	22787
25	600	22502
26	624	22510
27	668	23198
28	685	22964
29	703	22745
30	747	23369
31	775	23447
32	788	23096
33	802	22791
34	819	22587
35	836	22393
36	851	22157
37	861	21817
38	870	21461
39	882	21183
40	901	21079
41	913	20833
42	924	20582
43	937	20363
44	948	20131
45	959	19898
46	968	19636
47	979	19424
48	992	19253
49	1001	19026
50	1012	18836
51	1026	18705
52	1042	18633
53	1058	18536
54	1069	18373
55	1080	18215
56	1091	18058
57	1100	17881
58	1109	17694
59	1118	17516
60	1127	17361
61	1137	17204
62	1145	17035
63	1155	16899
64	1163	16739
65	1173	16611
66	1187	16533
67	1196	16405
68	1206	16285
69	1219	16200
70	1227	16065
71	1237	15945
72	1246	15834
73	1257	15731
74	1265	15611
75	1277	15536
76	1287	15439
77	1296	15321
78	1305	15215
79	1313	15101
80	1321	14998
81	1331	14904
82	1342	14829
83	1351	14735
84	1359	14630
85	1368	14540
86	1376	14449
87	1385	14359
88	1395	14279
89	1405	14209
90	1414	14127
91	1422	14039
92	1430	13953
93	1442	13898
94	1454	13857
95	1504	14171
96	1562	14547
97	1614	14860
98	1638	14913
99	1673	15065
100	1694	15081
101	1703	14993
102	1710	14895
103	1717	14798
104	1726	14712
105	1732	14612
106	1741	14534
107	1749	14453
108	1764	14424
109	1802	14581
110	1818	14565
111	1826	14479
112	1852	14538
113	1869	14528
114	1884	14499
115	1933	14735
116	1944	14677
117	1960	14656
118	1970	14591
119	1979	14517
120	1989	14452
121	2000	14395
122	2011	14342
123	2021	14279
124	2029	14208
125	2039	14145
126	2048	14080
127	2058	14020
128	2068	13966
129	2076	13899
130	2089	13864
131	2100	13815
132	2112	13769
133	2125	13736
134	2135	13684
135	2146	13635
136	2159	13137	137	2169	13138	138	2178	13139	139	2189	13140	140	2200	13141	141	2211	13142	142	2222	13143	2231	13266
144	2241	13217
145	2254	13185
146	2263	13135
147	2274	13096
148	2283	13042
149	2294	13000
150	2304	12954
151	2315	12916
152	2325	12874
153	2334	12826
154	2345	12786
155	2354	12735
156	2364	12695
157	2373	12650
158	2383	12605
159	2392	12559
160	2401	12512
161	2415	12494
162	2426	12459
163	2439	12433
164	2452	12408
165	2462	12373
166	2474	12341
167	2492	12341
168	2503	12308
169	2516	12284
170	2528	12256
171	2540	12227
172	2549	12189
173	2559	12151
174	2568	12108
175	2580	12079
176	2592	12053
177	2599	12006
178	2610	11973
179	2619	11934
180	2629	11900
181	2639	11864
182	2648	11825
183	2660	11798
184	2676	11790
185	2696	11800
186	2711	11788
187	2737	11823
188	2750	11804
189	2776	11837
190	2795	11840
191	2816	11853
192	2840	11879
193	2856	11869
194	2868	11839
195	2881	11818
196	2895	11803
197	2911	11795
198	2923	11769
199	2960	11843
200	2985	11866
201	3004	11868
202	3046	11960
203	3067	11971
204	3089	11982
205	3099	11947
206	3126	11979
207	3157	12021
208	3169	11995
209	3180	11965
210	3192	11937
211	3206	11917
212	3216	11885
213	3224	11844
214	3242	11837
215	3254	11813
216	3267	11791
217	3283	11779
218	3296	11756
219	3304	11715
220	3320	11702
221	3334	11686
222	3346	11660
223	3354	11621
224	3364	11589
225	3374	11555
226	3385	11526
227	3394	11493
228	3401	11451
229	3409	11414
230	3417	11375
231	3426	11341
232	3433	11302
233	3444	11274
234	3454	11244
235	3468	11229
236	3486	11223
237	3501	11210
238	3511	11181
239	3523	11158
240	3536	11138
241	3549	11118
242	3559	11089
